g1_1,141,1,20,16
g1_2,64,8,66,9
g1_3,169,5,279,12
g1_4,45,4,116,13
g1_5,13,6
g1_6,175,3,35,14
g1_7,133,7,299,10
g1_8,327,2,208,15
g1_9,236,1
g1_10,260,8,56,9
g1_11,22,5,350,12
g1_12,80,4,213,13
g1_13,314,6,223,11
g1_14,305,3,112,14
g1_15,235,7,328,10
g1_16,232,2,38,15
g1_17,214,1
g1_18,284,8,247,9
g1_19,130,5,54,12
g1_20,144,4,297,13
g1_21,227,6
g1_22,337,3,295,14
g1_23,345,7,241,10
g1_24,349,2,336,15
g1_25,331,1,113,16
g1_26,313,8,36,9
g1_27,248,5,14,12
g1_28,132,4,131,13
g1_29,273,6,109,11
g1_30,323,3,99,14
g1_31,72,7,298,10
g1_32,177,2,179,15
