1,1,50.0%
1,2,55.1%
1,3,60.6%
1,4,67.6%
1,5,83.3%
1,6,66.7%
1,7,83.3%
1,8,80.2%
1,9,90.0%
1,10,90.0%
1,11,90.0%
1,12,100.0%
1,13,100.0%
1,14,100.0%
1,15,100.0%
1,16,100.0%
2,2,50.0%
2,3,61.0%
2,4,44.4%
2,5,44.4%
2,6,72.2%
2,7,72.7%
2,8,70.0%
2,9,70.0%
2,10,70.0%
2,11,92.9%
2,12,92.9%
2,13,92.9%
2,14,92.9%
2,15,94.4%
2,16,94.4%
3,3,50.0%
3,4,62.5%
3,5,54.8%
3,6,54.8%
3,7,63.5%
3,8,69.2%
3,9,69.2%
3,10,69.2%
3,11,71.1%
3,12,83.9%
3,13,83.9%
3,14,83.9%
3,15,83.9%
3,16,83.9%
4,4,50.0%
4,5,55.7%
4,6,59.4%
4,7,59.4%
4,8,59.4%
4,9,66.7%
4,10,66.7%
4,11,66.7%
4,12,66.7%
4,13,80.5%
4,14,80.5%
4,15,80.5%
4,16,80.5%
5,5,50.0%
5,6,52.9%
5,7,52.9%
5,8,52.9%
5,9,52.9%
5,10,67.4%
5,11,67.4%
5,12,67.4%
5,13,78.6%
5,14,78.6%
5,15,78.6%
5,16,78.6%
6,6,50.0%
6,7,54.7%
6,8,54.7%
6,9,54.7%
6,10,60.0%
6,11,66.0%
6,12,66.0%
6,13,86.7%
6,14,86.7%
6,15,86.7%
6,16,86.7%
7,7,50.0%
7,8,50.0%
7,9,50.0%
7,10,60.8%
7,11,60.8%
7,12,60.8%
7,13,60.8%
7,14,60.8%
7,15,60.8%
7,16,60.8%
8,8,50.0%
8,9,58.4%
8,10,58.4%
8,11,58.4%
8,12,58.4%
8,13,58.4%
8,14,58.4%
8,15,58.4%
8,16,58.4%
9,9,50.0%
9,10,57.0%
9,11,57.0%
9,12,57.0%
9,13,57.0%
9,14,57.0%
9,15,57.0%
9,16,57.0%
10,10,50.0%
10,11,56.0%
10,12,56.0%
10,13,56.0%
10,14,56.0%
10,15,56.0%
10,16,56.0%
11,11,50.0%
11,12,55.0%
11,13,55.0%
11,14,55.0%
11,15,55.0%
11,16,55.0%
12,12,50.0%
12,13,72.7%
12,14,72.7%
12,15,72.7%
12,16,72.7%
13,13,50.0%
13,14,53.0%
13,15,53.0%
13,16,53.0%
14,14,52.0%
14,15,52.0%
14,16,52.0%
15,15,50.0%
15,16,51.0%
16,16,50.0%
